,Accession,Score,Rep1pVal (-log10),Rep1delta_Tm,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_Tm,Rep1Group2_Tm,Rep1min_Slope,Rep2pVal (-log10),Rep2delta_Tm,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_Tm,Rep2Group2_Tm,Rep2min_Slope
350,RALGPS2,0.0,0.563,1.17,0.833,0.917,62.23,63.4,-0.211,,,0.834,0.236,63.1,64.65,-0.167
349,RALB,0.0,,,0.709,0.602,60.28,65.59,-0.026,,,0.241,0.964,65.59,56.28,-0.039
348,RAET1G,0.0,0.403,0.75,0.988,0.962,59.45,60.2,-0.053,0.369,-0.26,0.988,0.988,60.53,60.27,-0.073
347,RAC2,0.0,0.393,0.72,0.989,0.952,55.08,55.8,-0.168,0.358,-0.23,0.963,0.97,55.32,55.09,-0.14
346,RAC1,0.0,,,0.108,0.0,62.44,65.59,-0.834,,,0.0,0.0,65.59,65.59,-0.829
344,RAB6A,0.0,,,0.004,0.0,65.59,65.59,-0.004,,,0.0,0.006,50.49,65.59,-0.862
331,PVR,0.0,,,0.375,0.356,65.59,65.59,-0.007,0.328,0.0,0.948,0.969,65.59,65.59,-0.027
343,RAB5C,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.181,65.59,65.59,-0.026
342,RAB5B,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.121,0.0,65.59,65.59,-0.098
341,RAB35,0.0,,,0.008,0.0,65.59,65.59,-0.831,,,0.246,0.388,65.54,65.39,-0.877
340,RAB33A,0.0,,,0.641,0.771,65.59,65.59,-0.024,,,0.598,0.596,64.97,65.59,-0.115
339,RAB27A,0.0,2.553,3.89,0.944,0.948,55.33,59.22,-0.084,0.492,0.39,0.868,0.888,59.96,60.35,-0.071
338,RAB14,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,65.59,-0.0
337,QSOX2,0.0,0.567,1.18,0.993,0.915,54.81,55.99,-0.157,0.303,-0.08,0.966,0.974,54.41,54.33,-0.137
336,Q9UDG2_HUMAN,0.0,0.78,1.63,0.823,0.805,57.8,59.43,-0.101,,,0.812,0.722,60.55,61.21,-0.118
335,PZP,0.0,0.392,0.12,0.957,0.971,50.03,50.15,-1.055,0.35,0.06,0.82,0.883,50.26,50.32,-0.992
334,PYGL,0.0,0.357,0.23,0.871,0.835,60.65,60.88,-0.313,,,0.726,0.856,60.63,60.42,-0.293
333,PVRL2,0.0,0.309,0.39,0.969,0.95,59.86,60.25,-0.068,0.487,0.38,0.984,0.987,60.38,60.76,-0.071
332,PVRL1,0.0,0.434,0.0,0.87,0.883,65.59,65.59,-0.028,0.886,1.06,0.978,0.979,62.12,63.18,-0.037
301,PANX1,0.0,,,0.919,0.766,62.73,65.47,-0.037,0.921,-1.26,0.836,0.895,62.56,61.3,-0.039
299,P2RX4,0.0,,,0.0,0.0,65.59,65.59,-0.0,,,0.0,0.0,37.0,65.59,-0.0
241,ITGAX,0.0,0.315,0.37,0.976,0.963,59.22,59.59,-0.061,1.103,-1.5,0.945,0.964,60.35,58.85,-0.049
256,LGALS1,0.0,,,0.911,0.732,59.35,61.56,-0.748,0.306,-0.06,0.807,0.895,60.71,60.65,-0.207
268,MAP4,0.0,,,0.828,0.786,64.09,63.9,-0.143,,,0.544,0.812,65.59,62.54,-0.033
267,MAGT1,0.0,0.632,-0.49,0.981,0.993,53.37,52.88,-0.182,0.824,-1.12,0.959,0.996,53.73,52.61,-0.125
266,MACF1,0.0,0.338,0.29,0.961,0.966,49.62,49.91,-0.452,0.35,-0.21,0.951,0.932,50.28,50.07,-1.032
265,M6PR,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,65.59,-0.0
264,M11S1,0.0,1.348,2.54,0.887,0.908,53.4,55.94,-0.093,0.497,0.4,0.88,0.884,53.63,54.03,-0.166
263,LYN,0.0,0.509,-0.2,0.922,0.98,50.55,50.35,-1.008,0.303,-0.08,0.901,0.98,50.45,50.37,-0.827
262,LTBR,0.0,1.081,2.15,0.838,0.887,59.64,61.79,-0.046,1.177,1.44,0.957,0.95,60.04,61.48,-0.037
261,LRRC8D,0.0,0.501,-0.18,0.944,0.977,54.32,54.14,-0.207,0.377,-0.28,0.978,0.987,53.66,53.38,-0.138
260,LRRC4B,0.0,0.934,-1.07,0.995,0.995,55.59,54.52,-0.06,1.244,-1.67,0.998,0.982,55.69,54.02,-0.057
259,LRPAP1,0.0,,,0.191,0.119,65.59,65.59,-0.009,,,0.745,0.768,65.59,65.59,-0.026
258,LNPEP,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
257,LMAN2,0.0,0.406,0.08,0.995,0.985,53.05,53.13,-0.125,0.507,0.42,0.997,0.993,52.93,53.35,-0.119
255,LDLR,0.0,,,0.37,0.337,65.59,65.59,-0.017,,,0.466,0.844,65.59,64.17,-0.032
298,ORAI1,0.0,,,0.587,0.8,65.59,60.06,-0.03,0.445,-0.44,0.853,0.88,62.93,62.49,-0.034
254,LCP1,0.0,,,0.987,0.781,57.0,58.55,-0.172,0.432,-0.41,0.859,0.921,56.64,56.23,-0.106
253,LAT2,0.0,,,0.145,0.192,65.59,65.59,-0.008,,,0.525,0.54,65.59,65.59,-0.039
252,LAMP2,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
251,LAMP1,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,65.59,65.59,-0.303
250,KTN1,0.0,0.42,0.04,0.975,0.971,50.12,50.16,-0.331,0.703,-0.93,0.983,0.997,50.09,49.16,-0.194
249,KIAA1797,0.0,,,0.956,0.731,53.56,54.29,-1.018,0.578,0.56,0.949,0.917,52.72,53.28,-0.287
248,KCNAB2,0.0,,,0.812,0.465,62.81,65.59,-0.119,,,0.249,0.807,64.48,57.72,-0.151
247,JTB,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
246,JAG1,0.0,0.838,1.74,0.984,0.968,55.97,57.71,-0.06,0.722,0.81,0.993,0.984,55.21,56.02,-0.058
245,ITM2B,0.0,0.642,-0.51,0.91,0.946,56.02,55.51,-0.058,0.402,-0.34,0.903,0.96,56.96,56.62,-0.053
244,ITIH2,0.0,,,0.819,0.484,65.59,65.59,-0.034,,,0.032,0.256,65.59,65.59,-0.397
243,ITGB2,0.0,0.434,0.0,0.833,0.929,65.59,65.59,-0.033,0.328,0.0,0.956,0.946,65.59,65.59,-0.033
269,MDH2,0.0,0.36,0.62,0.991,0.935,59.4,60.02,-0.137,0.411,0.21,0.975,0.946,59.4,59.61,-0.125
270,MERTK,0.0,0.708,-0.65,0.994,0.997,49.83,49.18,-0.159,0.317,-0.03,0.999,0.995,49.07,49.04,-0.185
271,MESDC2,0.0,,,0.689,0.631,64.24,65.59,-0.05,,,0.754,0.748,64.17,64.96,-0.053
272,MFGE8,0.0,0.957,-1.11,0.944,0.958,63.14,62.03,-0.098,0.557,0.52,0.845,0.915,63.38,63.9,-0.057
297,NUCB2,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
296,NSF,0.0,0.448,-0.04,0.995,0.949,50.32,50.28,-1.131,0.306,-0.06,0.898,0.954,50.37,50.31,-1.111
295,NRP1,0.0,1.093,-1.33,0.909,0.972,58.38,57.05,-0.06,0.343,0.04,0.877,0.975,58.1,58.14,-0.064
294,NRAS,0.0,,,0.0,0.0,65.59,65.59,-0.433,,,0.0,0.0,65.59,65.59,-0.527
293,NPTN,0.0,,,0.79,0.861,61.32,59.62,-0.057,0.468,-0.49,0.934,0.946,59.03,58.54,-0.092
292,NPC2,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,65.22,-0.0
291,NPC1,0.0,,,0.887,0.61,56.98,58.88,-0.121,,,0.858,0.703,56.19,57.06,-0.166
290,NOV,0.0,,,0.111,0.0,65.59,37.0,-0.011,,,0.0,0.297,37.0,65.59,-0.011
289,NOTCH2,0.0,0.769,-0.77,0.982,0.995,48.46,47.69,-0.109,0.45,0.3,0.997,0.994,47.88,48.18,-0.093
288,NLN,0.0,0.402,0.09,0.882,0.899,56.91,57.0,-0.095,0.406,0.2,0.862,0.964,56.6,56.8,-0.107
287,NEO1,0.0,0.482,-0.13,0.982,0.985,55.81,55.68,-0.07,0.436,-0.42,0.979,0.985,57.34,56.92,-0.061
286,NENF,0.0,,,0.525,0.827,65.59,65.59,-0.025,0.727,-0.97,0.859,0.899,65.24,64.27,-0.051
285,NDRG1,0.0,0.382,0.15,0.95,0.939,56.11,56.26,-0.092,0.463,-0.48,0.877,0.913,60.65,60.17,-0.146
284,NCSTN,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.618,0.874,65.59,65.59,-0.025
283,NCKAP1L,0.0,,,0.914,0.696,57.03,58.73,-0.092,0.482,-0.52,0.976,0.983,57.13,56.61,-0.067
282,NCAM1,0.0,0.463,0.92,0.982,0.94,59.7,60.62,-0.087,0.346,-0.2,0.914,0.972,59.2,59.0,-0.054
281,NAPA,0.0,0.456,0.9,0.967,0.896,52.95,53.85,-0.179,0.327,-0.15,0.921,0.929,53.49,53.34,-0.186
280,MYH9,0.0,0.655,-0.54,0.985,0.976,53.23,52.69,-0.227,0.95,-1.3,0.91,0.984,53.36,52.06,-0.197
279,MSN,0.0,0.327,0.51,0.96,0.977,51.34,51.85,-0.249,0.324,-0.01,0.919,0.99,50.56,50.55,-1.057
278,MSH6,0.0,0.455,-0.06,0.959,0.929,47.66,47.6,-1.108,0.313,-0.11,0.994,0.983,47.56,47.45,-0.432
277,MRC2,0.0,0.363,0.21,0.987,0.972,55.49,55.7,-0.074,0.339,0.03,0.974,0.946,56.73,56.76,-0.058
276,MPZL1,0.0,0.434,0.0,0.859,0.917,65.59,65.59,-0.034,0.578,0.56,0.954,0.956,65.03,65.59,-0.039
275,MPDU1,0.0,,,0.212,0.504,65.59,65.59,-0.097,,,0.346,0.623,65.59,65.59,-0.028
274,MIF,0.0,,,0.012,0.0,65.59,37.0,-0.004,,,0.0,0.05,37.0,65.59,-0.005
273,MFI2,0.0,0.354,0.6,0.965,0.964,58.94,59.54,-0.054,0.354,0.07,0.987,0.982,59.56,59.63,-0.05
358,RHBDF2,0.0,0.529,-0.25,0.975,0.978,57.2,56.95,-0.067,1.35,-1.79,0.953,0.991,56.52,54.73,-0.07
359,RHOA,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
360,RHOG,0.0,0.441,-0.02,0.839,0.914,62.24,62.22,-0.778,,,0.714,0.856,62.19,62.32,-0.823
435,STEAP3,0.0,0.369,0.19,0.938,0.932,54.01,54.2,-0.27,0.377,-0.28,0.952,0.965,53.91,53.63,-0.424
447,TLR2,0.0,0.67,-0.57,0.987,0.993,55.44,54.87,-0.081,0.478,0.36,0.995,0.988,56.26,56.62,-0.096
446,TLN1,0.0,0.434,0.0,0.939,0.931,50.39,50.39,-1.1,0.335,0.02,0.881,0.955,50.32,50.34,-1.1
445,TGOLN2,0.0,,,0.0,0.0,65.56,37.0,-0.0,,,0.0,0.0,65.56,65.55,-0.0
444,TGFBR1,0.0,0.485,-0.14,0.992,0.996,50.02,49.88,-0.289,0.317,-0.12,0.997,0.998,49.88,49.76,-0.293
443,TGFB1,0.0,2.671,4.0,0.979,0.907,57.67,61.67,-0.06,1.176,-1.59,0.803,0.914,60.59,59.0,-0.054
442,TFRC,0.0,,,0.0,0.0,65.58,37.0,-0.0,,,0.0,0.0,37.0,65.59,-0.0
441,TAGLN2,0.0,1.363,2.56,0.963,0.875,52.31,54.87,-0.119,0.818,0.96,0.94,0.942,50.67,51.63,-0.576
440,SYPL1,0.0,,,0.0,0.0,65.59,37.0,-0.0,,,0.0,0.0,65.59,65.59,-0.0
439,SUCNR1,0.0,,,0.0,0.0,65.58,37.0,-0.0,,,0.0,0.785,37.0,65.59,-0.018
438,STXBP3,0.0,0.805,-0.84,0.982,0.929,50.15,49.31,-1.12,0.377,-0.28,0.95,0.98,50.37,50.09,-1.013
437,STOML2,0.0,,,0.799,0.716,65.59,65.59,-0.028,,,0.751,0.31,65.59,65.59,-0.086
436,STOM,0.0,,,0.746,0.716,65.59,65.59,-0.025,,,0.473,0.674,65.59,65.59,-0.024
434,SPTBN1,0.0,0.497,-0.17,0.983,0.98,52.85,52.68,-0.198,0.65,0.69,0.968,0.992,51.52,52.21,-0.204
449,TMED10,0.0,0.525,1.08,0.98,0.921,56.43,57.51,-0.167,0.473,0.35,0.929,0.932,56.6,56.95,-0.119
433,SPPL2B,0.0,0.434,0.0,0.868,0.964,65.59,65.59,-0.027,9.421,-6.4,0.885,0.883,64.69,58.29,-0.026
432,SPN,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
431,SPINT1,0.0,0.749,1.57,0.963,0.964,59.16,60.73,-0.074,0.507,0.42,0.973,0.97,60.3,60.72,-0.061
430,SPG20,0.0,0.502,1.02,0.992,0.954,48.9,49.92,-0.307,0.303,-0.07,0.985,0.942,49.53,49.46,-0.29
429,SORL1,0.0,,,0.877,0.697,59.37,61.95,-0.089,,,0.827,0.777,61.92,61.48,-0.075
428,SNX8,0.0,,,0.883,0.42,57.97,59.33,-0.83,1.753,2.05,0.812,0.861,56.8,58.85,-0.368
427,SNAP23,0.0,,,0.0,0.0,37.0,65.59,-0.0,,,0.0,0.0,37.0,37.0,0.0
426,SLCO4A1,0.0,,,0.417,0.612,65.59,65.44,-0.08,,,0.864,0.695,63.88,63.68,-0.064
425,SLC9A6,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,65.59,65.59,-0.0
424,SLC9A1,0.0,0.562,-0.33,0.97,0.992,54.33,54.0,-0.089,0.728,0.82,0.976,0.981,56.55,57.37,-0.08
423,SLC7A6,0.0,0.455,-0.06,0.848,0.952,62.23,62.17,-0.709,0.454,-0.46,0.967,0.928,65.14,64.68,-0.08
422,SLC7A5,0.0,1.043,-1.25,0.964,0.937,63.46,62.21,-0.087,0.303,-0.07,0.97,0.968,62.65,62.58,-0.126
448,TMED1,0.0,0.379,0.16,0.966,0.941,56.76,56.92,-0.131,0.35,-0.21,0.932,0.9,56.94,56.73,-0.141
450,TMEM206,0.0,0.467,-0.09,0.882,0.895,61.25,61.16,-0.101,0.402,-0.34,0.912,0.931,62.21,61.87,-0.072
420,SLC6A6,0.0,0.632,-0.49,0.961,0.948,63.81,63.32,-0.056,0.487,-0.53,0.969,0.971,61.62,61.09,-0.045
465,TXNDC14,0.0,0.33,0.52,0.974,0.941,55.45,55.97,-0.109,0.317,-0.12,0.903,0.858,55.47,55.35,-0.155
477,XRCC5,0.0,0.685,1.44,0.992,0.952,49.34,50.78,-0.088,0.531,-0.62,0.944,0.944,48.81,48.19,-0.168
476,XK,0.0,0.738,-0.71,0.946,0.965,63.04,62.33,-0.06,0.487,0.38,0.969,0.941,63.19,63.57,-0.069
475,VTN,0.0,,,0.476,0.752,65.49,64.09,-0.054,,,0.531,0.785,64.18,64.01,-0.068
474,VPS13C,0.0,0.306,0.4,0.944,0.93,54.07,54.47,-0.173,0.419,0.23,0.882,0.954,54.29,54.52,-0.197
473,VLDLR,0.0,,,0.913,0.624,60.89,63.35,-0.077,,,0.585,0.561,65.59,65.59,-0.042
472,VIM,0.0,0.982,1.99,0.904,0.881,55.01,57.0,-0.107,0.616,0.63,0.967,0.93,54.39,55.02,-0.164
471,VDAC1,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
470,VAPA,0.0,0.906,1.86,0.962,0.923,57.11,58.97,-0.168,,,0.797,0.732,59.51,59.72,-0.053
469,VAMP8,0.0,,,0.0,0.0,65.59,37.0,-0.0,,,0.0,0.0,37.0,37.0,0.0
468,VAMP7,0.0,,,0.838,0.754,55.72,56.61,-0.14,,,0.909,0.7,50.34,54.8,-1.038
467,TYROBP,0.0,,,0.0,0.0,65.59,37.0,-0.0,,,0.0,0.0,65.59,65.59,-0.091
466,TXNDC4,0.0,0.906,1.86,0.963,0.989,55.59,57.45,-0.083,0.411,0.21,0.958,0.97,56.04,56.25,-0.071
464,TXNDC10,0.0,0.312,0.38,0.98,0.968,53.53,53.91,-0.18,0.32,-0.02,0.954,0.973,53.46,53.44,-0.158
451,TMEM219,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
463,TUBB2C,0.0,0.763,-0.76,0.912,0.907,58.08,57.32,-0.101,0.354,-0.22,0.839,0.904,58.3,58.08,-0.116
462,TSPAN31,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
461,TSPAN3,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,65.57,-0.0
460,TSPAN2,0.0,,,0.409,0.411,65.59,65.59,-0.023,,,0.768,0.357,65.59,65.59,-0.042
459,TSPAN14,0.0,0.392,0.12,0.935,0.96,60.94,61.06,-0.081,0.428,0.25,0.968,0.983,60.84,61.09,-0.08
458,TRPV2,0.0,0.351,0.25,0.971,0.975,55.52,55.77,-0.257,0.411,0.21,0.97,0.968,55.72,55.93,-0.212
457,TPCN1,0.0,,,0.668,0.645,62.17,62.27,-0.833,,,0.672,0.512,62.49,62.91,-0.781
456,TPBG,0.0,3.375,-3.77,0.856,0.813,65.59,61.82,-0.051,,,0.759,0.986,65.38,63.79,-0.04
455,TNFRSF14,0.0,,,0.586,0.62,65.59,65.59,-0.021,0.328,0.0,0.933,0.905,65.59,65.59,-0.035
454,TNFRSF10B,0.0,0.656,1.38,0.938,0.898,57.53,58.91,-0.078,1.08,1.32,0.982,0.966,58.4,59.72,-0.052
453,TMEM33,0.0,0.975,-1.14,0.976,0.979,56.87,55.73,-0.061,1.71,-2.16,0.948,0.964,54.25,52.09,-0.064
452,TMEM30A,0.0,0.562,-0.33,0.998,0.997,57.57,57.24,-0.193,0.35,0.06,0.98,0.993,57.38,57.44,-0.147
421,SLC7A1,0.0,0.605,-0.43,0.981,0.992,63.3,62.87,-0.099,0.35,-0.21,0.984,0.983,62.28,62.07,-0.078
419,SLC5A6,0.0,0.521,-0.23,0.985,0.98,58.57,58.34,-0.06,0.531,0.47,0.993,0.985,59.61,60.08,-0.076
361,RHOT2,0.0,0.312,0.38,0.973,0.909,51.19,51.57,-0.209,0.398,0.18,0.939,0.967,51.24,51.42,-0.215
375,SEMA4A,0.0,0.413,0.78,0.985,0.966,57.66,58.44,-0.084,0.622,0.64,0.983,0.984,57.97,58.61,-0.067
387,SLC15A4,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
386,SLC12A6,0.0,0.341,0.28,0.972,0.982,53.98,54.26,-0.151,0.327,-0.15,0.998,0.985,53.62,53.47,-0.132
385,SLC12A2,0.0,0.413,0.06,0.977,0.989,54.8,54.86,-0.211,0.753,0.86,0.997,0.994,54.49,55.35,-0.185
384,SIRPA,0.0,,,0.811,0.877,65.59,65.59,-0.021,,,0.957,0.958,65.59,65.59,-0.021
383,SIGLEC7,0.0,0.363,0.21,0.976,0.96,63.37,63.58,-0.05,0.516,-0.59,0.922,0.96,64.2,63.61,-0.054
382,SIGLEC6,0.0,0.43,0.01,0.964,0.944,56.05,56.06,-0.047,1.095,1.34,0.936,0.945,55.12,56.46,-0.055
381,SEZ6L2,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
380,SERPINB2,0.0,0.342,0.56,0.987,0.959,58.77,59.33,-0.158,1.288,-1.72,0.892,0.962,59.0,57.28,-0.138
379,SERINC3,0.0,,,0.0,0.0,65.59,65.59,-0.0,,,0.259,0.225,65.59,65.59,-0.006
378,SERBP1,0.0,,,0.452,0.0,62.39,62.74,-0.757,,,0.403,0.807,62.81,59.3,-0.74
377,SEPHS1,0.0,,,0.0,0.0,37.0,65.59,-0.0,,,0.0,0.0,37.0,65.59,-0.0
376,SEMA4D,0.0,0.549,-0.3,0.953,0.973,60.37,60.07,-0.048,0.406,0.2,0.967,0.947,60.68,60.88,-0.057
374,SELPLG,0.0,0.434,0.0,0.915,0.957,65.59,65.59,-0.025,0.335,0.02,0.961,0.963,61.41,61.43,-0.061
389,SLC16A3,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
373,SDK1,0.0,0.67,-0.57,0.981,0.979,52.62,52.05,-0.097,0.45,0.3,0.983,0.99,52.77,53.07,-0.081
372,SCPEP1,0.0,,,0.811,0.682,62.62,64.93,-0.048,,,0.521,0.721,65.59,64.5,-0.041
371,SCARB1,0.0,,,0.906,0.779,63.23,65.59,-0.028,0.328,0.0,0.855,0.897,65.59,65.59,-0.053
370,S100A6,0.0,0.367,0.64,0.948,0.927,59.98,60.62,-0.18,0.45,0.3,0.957,0.952,60.66,60.96,-0.117
369,S100A4,0.0,,,0.884,0.751,58.58,59.74,-0.147,0.436,-0.42,0.855,0.939,58.87,58.45,-0.095
368,RTN4RL2,0.0,0.36,0.62,0.879,0.98,61.25,61.87,-0.05,0.994,-1.36,0.947,0.955,61.16,59.8,-0.052
367,RTN4R,0.0,0.467,0.93,0.955,0.922,63.77,64.7,-0.036,0.423,-0.39,0.922,0.941,62.23,61.84,-0.042
366,RTN4,0.0,,,0.793,0.909,65.59,65.59,-0.031,,,0.355,0.0,65.59,37.0,-0.46
365,RPS27A,0.0,,,0.025,0.049,65.59,65.59,-0.008,,,0.445,0.612,65.59,59.43,-0.027
364,RP2,0.0,0.463,0.92,0.993,0.955,53.45,54.37,-0.11,0.343,0.04,0.972,0.976,53.89,53.93,-0.096
363,RNPEP,0.0,0.41,0.77,0.986,0.912,49.45,50.22,-1.111,0.303,-0.07,0.858,0.925,50.12,50.05,-1.159
362,RNASET2,0.0,0.396,0.11,0.875,0.942,60.44,60.55,-0.066,0.583,-0.72,0.889,0.893,62.15,61.43,-0.071
388,SLC16A1,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
