,Accession,Score,p_Val (-log10),Group1_R2,Group2_R2,RSS_Null,RSS_Alt,RSS_Diff
340,PLXND1,0.314,0.317,0.998,0.997,0.01,0.011,0.001
81,CAD,0.313,0.319,0.997,0.994,0.02,0.022,0.002
482,TAGLN2,0.297,0.316,0.995,0.974,0.069,0.076,0.006
175,FAM62A,0.296,0.302,0.996,0.994,0.019,0.02,0.002
321,PAK2,0.294,0.321,0.971,0.984,0.105,0.115,0.01
431,SLC26A2,0.291,0.302,0.991,0.992,0.045,0.048,0.004
518,VAMP7,0.287,0.414,0.909,0.916,0.329,0.368,0.039
121,CLTC,0.286,0.353,0.988,0.91,0.355,0.391,0.036
134,CTNND1,0.286,0.305,0.985,0.984,0.047,0.051,0.004
441,SLC31A1,0.28,0.414,0.921,0.893,0.207,0.231,0.024
520,VASN,0.276,0.345,0.947,0.944,0.133,0.146,0.013
290,MIF,0.267,0.561,0.829,0.833,0.323,0.374,0.051
505,TPBG,0.266,0.295,0.967,0.981,0.076,0.083,0.007
3,ABCC1,0.265,0.298,0.976,0.967,0.155,0.168,0.013
159,ENO1,0.245,0.294,0.948,0.961,0.286,0.311,0.025
7,ACE,0.244,0.267,0.983,0.973,0.055,0.059,0.004
155,EFNB1,0.242,0.249,0.993,0.993,0.02,0.021,0.001
150,DSG2,0.242,0.265,0.978,0.976,0.087,0.094,0.007
147,DNAJA2,0.242,0.264,0.982,0.976,0.088,0.095,0.007
507,TRPM4,0.236,0.262,0.974,0.972,0.128,0.138,0.01
62,ATP6V1B2,0.236,0.372,0.86,0.927,0.381,0.421,0.04
192,GGT5,0.234,0.282,0.952,0.959,0.143,0.154,0.012
475,STRAP,0.234,0.317,0.935,0.919,0.216,0.236,0.02
412,SLC12A2,0.234,0.28,0.959,0.953,0.225,0.243,0.018
521,VASP,0.234,0.24,0.994,0.994,0.022,0.023,0.002
234,IL10RB,0.232,0.241,0.992,0.991,0.034,0.036,0.002
442,SLC38A1,0.228,0.269,0.985,0.934,0.192,0.208,0.015
224,ICAM1,0.219,0.333,0.912,0.89,0.116,0.127,0.011
47,ATP13A3,0.217,0.231,0.983,0.988,0.079,0.085,0.006
8,ACLY,0.208,0.218,0.992,0.984,0.068,0.072,0.005
170,EZR,0.202,0.205,0.996,0.996,0.025,0.027,0.002
182,FLNA,0.201,0.207,0.988,0.997,0.037,0.039,0.002
444,SLC38A5,0.197,0.235,0.96,0.954,0.19,0.203,0.013
25,ANK1,0.196,0.207,0.991,0.983,0.042,0.044,0.003
434,SLC29A2,0.195,0.256,0.929,0.939,0.331,0.356,0.025
349,PRPS2,0.19,0.264,0.938,0.904,0.352,0.38,0.028
13,ADAM10,0.189,0.209,0.976,0.972,0.061,0.065,0.004
387,RNPEP,0.188,0.191,0.998,0.993,0.019,0.02,0.001
386,RNF149,0.18,0.201,0.965,0.981,0.078,0.083,0.005
110,CDCP1,0.179,0.184,0.994,0.993,0.013,0.013,0.001
289,MFI2,0.177,0.195,0.977,0.976,0.067,0.071,0.004
407,SERBP1,0.176,0.249,0.906,0.927,0.235,0.253,0.018
251,ITGB3,0.176,0.222,0.969,0.917,0.158,0.169,0.011
403,SEMA4C,0.175,0.182,0.988,0.989,0.038,0.04,0.002
31,ANXA3,0.169,0.247,0.9,0.918,0.479,0.514,0.035
30,ANXA2,0.169,0.176,0.995,0.987,0.049,0.052,0.003
84,CAP1,0.167,0.17,0.993,0.996,0.035,0.037,0.002
410,SLAMF6,0.164,0.297,0.923,0.806,0.152,0.165,0.013
173,FAM171A1,0.16,0.168,0.994,0.983,0.044,0.047,0.002
332,PLAU,0.159,0.212,0.944,0.917,0.145,0.154,0.009
191,GGT1,0.158,0.317,0.83,0.85,0.173,0.189,0.016
88,CCT3,0.154,0.16,0.995,0.984,0.057,0.06,0.003
222,HSPB1,0.148,0.163,0.977,0.975,0.08,0.085,0.004
180,FEN1,0.148,0.152,0.995,0.991,0.027,0.028,0.001
166,ERLIN2,0.147,0.168,0.965,0.968,0.11,0.116,0.006
342,PPME1,0.145,0.153,0.984,0.991,0.067,0.07,0.003
467,SORT1,0.145,0.222,0.884,0.913,0.117,0.125,0.008
171,F2RL3,0.135,0.194,0.913,0.912,0.249,0.264,0.015
499,TNFRSF10A,0.135,0.18,0.935,0.925,0.118,0.125,0.007
132,CSDE1,0.133,0.142,0.985,0.98,0.062,0.065,0.003
351,PTGER3,0.13,0.168,0.936,0.94,0.138,0.145,0.007
114,CLCN3,0.129,0.157,0.96,0.944,0.218,0.229,0.011
271,LRRC4B,0.128,0.148,0.953,0.976,0.106,0.111,0.005
154,EEF2,0.124,0.139,0.962,0.98,0.153,0.16,0.007
384,RHOT2,0.123,0.126,0.993,0.994,0.029,0.03,0.001
345,PRKAR2A,0.115,0.117,0.998,0.993,0.018,0.018,0.001
165,EPS15,0.111,0.114,0.99,0.994,0.035,0.037,0.001
483,TBXA2R,0.11,0.187,0.868,0.883,0.533,0.565,0.031
414,SLC12A6,0.109,0.114,0.99,0.991,0.053,0.055,0.002
16,ADAM9,0.109,0.203,0.837,0.877,0.197,0.209,0.012
320,PAFAH1B2,0.107,0.113,0.995,0.976,0.068,0.071,0.003
486,TFR2,0.106,0.162,0.887,0.914,0.126,0.132,0.007
208,HEPH,0.105,0.107,0.996,0.995,0.012,0.013,0.0
459,SLC7A5,0.104,0.208,0.869,0.817,0.354,0.377,0.023
508,TRPV2,0.103,0.115,0.975,0.971,0.164,0.171,0.006
32,ANXA5,0.1,0.104,0.99,0.993,0.036,0.037,0.001
253,JAG2,0.099,0.122,0.98,0.917,0.143,0.149,0.006
530,ZYX,0.098,0.162,0.871,0.892,0.331,0.348,0.017
162,ENTPD3,0.098,0.108,0.979,0.976,0.073,0.076,0.003
19,ADSS,0.095,0.108,0.965,0.972,0.154,0.16,0.006
245,ITGA2B,0.091,0.099,0.996,0.965,0.044,0.045,0.002
77,C17ORF60,0.091,0.099,0.983,0.978,0.033,0.034,0.001
29,ANXA1,0.084,0.086,0.999,0.99,0.026,0.027,0.001
450,SLC4A2,0.083,0.086,0.992,0.993,0.037,0.038,0.001
366,RAB3GAP2,0.081,0.084,0.992,0.992,0.029,0.03,0.001
158,EMR2,0.079,0.113,0.928,0.9,0.316,0.328,0.012
297,MSN,0.078,0.079,0.997,0.995,0.026,0.027,0.001
15,ADAM17,0.075,0.081,0.974,0.986,0.064,0.066,0.002
409,SIGLEC10,0.075,0.082,0.981,0.974,0.068,0.07,0.002
492,TLN1,0.074,0.074,0.999,0.999,0.005,0.005,0.0
526,XRCC5,0.074,0.076,0.993,0.993,0.022,0.023,0.001
300,MXRA8,0.073,0.116,0.907,0.874,0.291,0.302,0.012
6,ABCC5,0.073,0.078,0.983,0.981,0.078,0.08,0.002
186,FLVCR1,0.071,0.092,0.954,0.922,0.283,0.292,0.009
116,CLIC1,0.071,0.075,0.982,0.993,0.078,0.081,0.002
493,TLR9,0.069,0.078,0.972,0.97,0.137,0.141,0.004
130,CPNE1,0.068,0.1,0.894,0.921,0.373,0.386,0.013
41,ARL15,0.066,0.081,0.947,0.953,0.098,0.101,0.003
14,ADAM15,0.066,0.073,0.975,0.976,0.085,0.088,0.002
24,AMIGO2,0.065,0.07,0.982,0.978,0.062,0.063,0.002
413,SLC12A4,0.065,0.068,0.993,0.989,0.036,0.037,0.001
117,CLIC4,0.065,0.069,0.986,0.985,0.074,0.076,0.002
355,PTPRC,0.064,0.067,0.989,0.983,0.079,0.081,0.002
519,VAPA,0.062,0.068,0.982,0.976,0.07,0.072,0.002
503,TNFSF9,0.061,0.105,0.896,0.851,0.113,0.117,0.004
291,MME,0.061,0.09,0.914,0.899,0.226,0.234,0.007
148,DNM2,0.061,0.073,0.943,0.969,0.174,0.179,0.005
66,ATRN,0.06,0.076,0.941,0.945,0.072,0.074,0.002
63,ATP6V1E1,0.056,0.095,0.867,0.881,0.486,0.502,0.017
462,SLC9A3R1,0.055,0.065,0.961,0.96,0.119,0.122,0.003
329,PHB,0.055,0.114,0.801,0.864,0.263,0.274,0.01
494,TMED10,0.054,0.079,0.893,0.928,0.257,0.265,0.008
373,RAC2,0.053,0.067,0.96,0.934,0.197,0.202,0.005
295,MRC2,0.052,0.062,0.965,0.953,0.098,0.1,0.002
279,MACF1,0.051,0.057,0.973,0.972,0.088,0.09,0.002
189,GAPDH,0.048,0.08,0.866,0.888,0.471,0.485,0.014
515,UAP1,0.047,0.051,0.98,0.978,0.123,0.125,0.003
388,ROR2,0.046,0.047,0.994,0.992,0.03,0.03,0.001
12,ACVR1,0.046,0.046,1.0,0.999,0.003,0.003,0.0
468,SPINT1,0.045,0.064,0.923,0.902,0.192,0.196,0.005
395,SARS,0.044,0.049,0.969,0.982,0.13,0.133,0.003
168,ESAM,0.041,0.07,0.868,0.885,0.152,0.156,0.004
323,PC,0.039,0.041,0.99,0.989,0.046,0.047,0.001
257,KISS1R,0.038,0.043,0.961,0.983,0.131,0.134,0.002
43,ASPH,0.037,0.059,0.949,0.832,0.34,0.348,0.008
18,ADCY7,0.037,0.039,0.989,0.984,0.055,0.056,0.001
240,IL6ST,0.035,0.045,0.937,0.94,0.107,0.109,0.002
353,PTK7,0.033,0.033,0.997,0.997,0.013,0.013,0.0
78,C1QBP,0.032,0.036,0.98,0.965,0.12,0.122,0.002
225,ICAM2,0.032,0.034,0.987,0.981,0.041,0.041,0.001
330,PHB2,0.031,0.07,0.829,0.809,0.345,0.355,0.009
199,GP1BB,0.031,0.036,0.964,0.96,0.083,0.084,0.001
500,TNFRSF10B,0.031,0.038,0.958,0.939,0.106,0.108,0.002
106,CD97,0.031,0.045,0.916,0.905,0.188,0.191,0.004
112,CDV3,0.031,0.047,0.883,0.914,0.409,0.417,0.008
524,VIM,0.031,0.034,0.984,0.981,0.08,0.082,0.001
228,IFNAR1,0.03,0.032,0.987,0.981,0.05,0.051,0.001
205,GSTP1,0.029,0.031,0.989,0.971,0.116,0.118,0.002
217,HSP90AA1,0.029,0.029,0.992,0.995,0.036,0.036,0.001
324,PCYOX1,0.027,0.054,0.858,0.829,0.465,0.475,0.01
215,HSD17B10,0.026,0.027,0.989,0.991,0.056,0.057,0.001
123,CNNM3,0.026,0.027,0.992,0.993,0.036,0.036,0.0
137,CUL5,0.026,0.045,0.867,0.869,0.605,0.617,0.012
465,SNAP29,0.026,0.034,0.946,0.921,0.135,0.137,0.002
46,ATP11C,0.022,0.026,0.964,0.953,0.224,0.227,0.003
346,PRKCB,0.021,0.021,0.995,0.988,0.042,0.043,0.0
288,MFGE8,0.021,0.026,0.959,0.947,0.107,0.108,0.001
227,IFITM1,0.021,0.035,0.86,0.892,0.726,0.738,0.012
432,SLC26A6,0.02,0.037,0.851,0.864,0.63,0.64,0.011
454,SLC6A6,0.019,0.024,0.94,0.945,0.2,0.202,0.002
103,CD80,0.019,0.027,0.914,0.926,0.176,0.178,0.002
10,ACPP,0.018,0.032,0.889,0.845,0.345,0.35,0.005
69,BCAM,0.017,0.019,0.977,0.974,0.056,0.056,0.001
1,ABCA8,0.016,0.027,0.892,0.864,0.462,0.468,0.006
5,ABCC4,0.016,0.025,0.914,0.884,0.4,0.405,0.005
206,HDDC2,0.016,0.021,0.895,0.949,0.327,0.331,0.004
239,IL27RA,0.016,0.017,0.987,0.991,0.027,0.028,0.0
52,ATP2A3,0.016,0.017,0.993,0.994,0.034,0.034,0.0
181,FERMT3,0.015,0.016,0.995,0.991,0.032,0.032,0.0
133,CSK,0.015,0.017,0.969,0.962,0.116,0.117,0.001
511,TUBB2C,0.015,0.021,0.909,0.915,0.405,0.41,0.005
124,CNNM4,0.015,0.015,0.995,0.995,0.024,0.024,0.0
317,P2RX1,0.014,0.026,0.904,0.807,0.282,0.286,0.004
339,PLXNB2,0.014,0.015,0.992,0.988,0.045,0.045,0.0
284,MCTS1,0.014,0.02,0.928,0.919,0.306,0.309,0.003
233,IGSF8,0.014,0.02,0.924,0.907,0.22,0.222,0.002
471,STEAP3,0.014,0.021,0.925,0.877,0.579,0.585,0.006
495,TMEM2,0.014,0.014,0.993,0.988,0.025,0.025,0.0
142,DDR1,0.013,0.013,0.997,0.997,0.012,0.012,0.0
457,SLC7A1,0.012,0.021,0.908,0.825,0.307,0.31,0.003
184,FLNC,0.011,0.011,0.993,0.993,0.032,0.033,0.0
423,SLC22A23,0.011,0.023,0.84,0.811,0.174,0.176,0.002
26,ANO6,0.011,0.011,0.983,0.978,0.121,0.122,0.001
256,KEL,0.009,0.011,0.99,0.951,0.077,0.077,0.001
350,PRSS8,0.008,0.015,0.886,0.824,0.231,0.233,0.002
244,ITFG3,0.008,0.012,0.91,0.879,0.182,0.183,0.001
477,STXBP2,0.007,0.008,0.982,0.928,0.167,0.168,0.001
376,RCC2,0.007,0.007,0.99,0.985,0.064,0.064,0.0
377,RDX,0.006,0.007,0.985,0.969,0.112,0.113,0.001
221,HSPA8,0.006,0.007,0.962,0.962,0.157,0.158,0.001
218,HSP90AB1,0.005,0.005,0.994,0.995,0.028,0.028,0.0
75,BTN2A1,0.005,0.006,0.983,0.987,0.072,0.072,0.0
496,TMEM30A,0.004,0.005,0.948,0.953,0.187,0.188,0.001
161,ENTPD1,0.004,0.005,0.975,0.945,0.107,0.108,0.0
348,PROCR,0.003,0.004,0.951,0.946,0.103,0.103,0.0
212,HMOX2,0.003,0.005,0.891,0.937,0.362,0.364,0.001
449,SLC44A2,0.003,0.005,0.905,0.805,0.202,0.203,0.001
105,CD84,0.003,0.004,0.889,0.864,0.32,0.321,0.001
498,TMEM8,0.002,0.002,0.963,0.95,0.089,0.089,0.0
196,GNB1,0.002,0.002,0.991,0.961,0.126,0.126,0.0
294,MPZL1,0.002,0.002,0.931,0.928,0.12,0.12,0.0
209,HINT1,0.002,0.004,0.822,0.866,0.782,0.785,0.003
246,ITGA5,0.001,0.002,0.902,0.908,0.163,0.164,0.0
250,ITGB2,0.001,0.001,0.958,0.952,0.081,0.081,0.0
337,PLXNA3,0.001,0.001,0.979,0.986,0.071,0.071,0.0
361,PVRL2,0.001,0.001,0.938,0.939,0.111,0.111,0.0
417,SLC19A1,0.001,0.001,0.927,0.889,0.169,0.17,0.0
115,CLDND1,0.001,0.001,0.952,0.928,0.13,0.13,0.0
402,SELPLG,0.0,,0.285,0.055,,,
529,ZDHHC5,0.0,,0.0,0.067,,,
385,RNASET2,0.0,,0.0,0.0,,,
525,VTN,0.0,,0.95,0.603,,,
445,SLC39A14,0.0,,0.779,0.825,,,
527,YIPF3,0.0,,0.0,0.0,,,
443,SLC38A2,0.0,,0.176,0.273,,,
383,RHOG,0.0,0.0,0.913,0.844,0.568,0.568,0.0
446,SLC39A6,0.0,,0.855,0.743,,,
396,SCAMP3,0.0,,0.0,0.0,,,
389,RPL15,0.0,,0.735,0.65,,,
460,SLC7A6,0.0,,0.852,0.775,,0.617,
392,RTN4,0.0,,0.0,0.0,,,
393,RTN4RL2,0.0,0.0,0.861,0.853,0.42,0.42,0.0
463,SLCO4A1,0.0,,0.576,0.675,,,
452,SLC5A3,0.0,,0.526,0.4,,,
464,SNAP23,0.0,,0.0,0.0,,,
447,SLC40A1,0.0,,0.855,0.762,,0.298,
397,SCARB1,0.0,,0.0,0.07,,,
398,SDC1,0.0,,0.705,0.42,,,
399,SDC3,0.0,,0.0,0.014,,,
400,SDC4,0.0,,0.797,0.31,,,
469,SPN,0.0,,0.136,0.052,,,
401,SDCBP,0.0,,0.687,0.276,,,
448,SLC43A1,0.0,,0.844,0.734,,,
425,SLC23A2,0.0,,0.739,0.523,,,
523,VDAC1,0.0,,0.0,0.0,,,
487,TFRC,0.0,,0.254,0.221,,,
481,SYPL1,0.0,,0.0,0.0,,,
420,SLC1A5,0.0,,0.865,0.778,,0.213,
421,SLC20A1,0.0,,0.012,0.0,,,
430,SLC25A5,0.0,,0.0,0.0,,,
504,TOR2A,0.0,0.0,0.947,0.961,0.133,0.133,0.0
485,TFPI,0.0,,0.533,0.709,,,
429,SLC25A4,0.0,,0.0,0.0,,,
422,SLC20A2,0.0,,0.25,0.241,,,
419,SLC1A4,0.0,,0.693,0.647,,,
502,TNFRSF8,0.0,,0.71,0.594,,,
490,TGOLN2,0.0,,0.0,0.0,,,
501,TNFRSF1B,0.0,,0.494,0.355,,,
428,SLC25A3,0.0,,0.0,0.0,,,
427,SLC25A13,0.0,,0.884,0.745,,0.517,
426,SLC25A11,0.0,,0.0,0.0,,,
424,SLC22A4,0.0,,0.503,0.428,,,
506,TPCN1,0.0,,0.455,0.44,,,
418,SLC19A2,0.0,,0.564,0.625,,,
522,VCL,0.0,,0.736,0.893,,1.4,
439,SLC2A5,0.0,,0.033,0.025,,,
470,SPPL2B,0.0,,0.853,0.77,,0.379,
473,STOM,0.0,,0.0,0.0,,,
474,STOML2,0.0,,0.17,0.173,,,
408,SERINC3,0.0,,0.0,0.0,,,
476,STX7,0.0,,0.0,0.0,,,
440,SLC30A1,0.0,,0.571,0.518,,,
411,SLC11A2,0.0,,0.0,0.0,,,
438,SLC2A4,0.0,,0.718,0.592,,,
433,SLC29A1,0.0,,0.722,0.633,,,
514,TYRO3,0.0,,0.63,0.767,,,
437,SLC2A3,0.0,,0.427,0.315,,,
436,SLC2A13,0.0,,0.0,0.0,,,
435,SLC2A1,0.0,,0.809,0.724,,,
512,TXNDC13,0.0,,0.774,0.918,,0.467,
416,SLC16A1,0.0,,0.0,0.0,,,
510,TSPAN31,0.0,,0.0,0.0,,,
406,SEPHS1,0.0,,0.33,0.43,,,
0,ABCA7,0.0,,0.879,0.73,,,
382,RHOA,0.0,,0.0,0.068,,,
85,CAPN1,0.0,,0.445,0.45,,,
107,CD99,0.0,,0.681,0.523,,,
104,CD82,0.0,,0.388,0.457,,,
102,CD69,0.0,,0.818,0.78,,,
101,CD63,0.0,,0.0,0.0,,,
100,CD59,0.0,,0.05,0.0,,,
99,CD55,0.0,,0.0,0.0,,,
98,CD53,0.0,,0.105,0.1,,,
96,CD47,0.0,,0.497,0.189,,,
94,CD44,0.0,,0.674,0.631,,,
93,CD40,0.0,,0.486,0.568,,,
92,CD37,0.0,,0.833,0.773,,,
91,CD320,0.0,,0.0,0.0,,,
90,CD200R1,0.0,,0.473,0.152,,,
89,CD151,0.0,,0.566,0.506,,,
87,CAT,0.0,,0.285,0.109,,,
108,CD99L2,0.0,,0.0,0.0,,,
109,CDC42,0.0,,0.0,0.0,,,
113,CHID1,0.0,,0.0,0.201,,,
141,DCI,0.0,,0.0,0.0,,,
160,ENPP3,0.0,,0.849,0.792,,0.188,
157,EMP3,0.0,,0.0,0.0,,,
153,EEA1,0.0,,0.612,0.425,,,
152,ECM1,0.0,,0.0,0.0,,,
151,ECE1,0.0,,0.058,0.011,,,
145,DLK1,0.0,,0.0,0.0,,,
139,DAG1,0.0,,0.849,0.774,,0.33,
118,CLN3,0.0,,0.0,0.0,,,
138,CUTA,0.0,,0.0,0.0,,,
136,CTTN,0.0,,0.0,0.55,,,
135,CTSB,0.0,,0.0,0.0,,,
129,CPD,0.0,,0.474,0.207,,,
125,CNPY2,0.0,,0.402,0.368,,,
120,CLTA,0.0,,0.887,0.681,,,
